基金代码,拼音缩写,基金简称,基金类型,拼音全称
002780,QHLHHXHHA,前海联合泓鑫混合A,混合型-灵活,QIANHAILIANHEHONGXINHUNHEA
002801,HDHXHH,泓德泓信混合,混合型-灵活,HONGDEHONGXINHUNHE
002802,GFCZZXHHA,广发成长智选混合A,混合型-偏股,GUANGFACHENGZHANGZHIXUANHUNHEA
002803,DFHHGSHH,东方红沪港深混合,混合型-灵活,DONGFANGHONGHUGANGSHENHUNHE
002808,HDYSLHHH,泓德优势领航混合,混合型-灵活,HONGDEYOUSHILINGHANGHUNHE
002810,JXZXCXCZHHFQSA,金信转型创新成长混合发起式A,混合型-灵活,JINXINZHUANXINGCHUANGXINCHENGZHANGHUNHEFAQISHIA
002819,ZSFMHHA,招商丰美混合A,混合型-灵活,ZHAOSHANGFENGMEIHUNHEA
002820,ZSFMHHC,招商丰美混合C,混合型-灵活,ZHAOSHANGFENGMEIHUNHEC
002833,HXXJXHHA,华夏新锦绣混合A,混合型-灵活,HUAXIAXINJINXIUHUNHEA
002834,HXXJXHHC,华夏新锦绣混合C,混合型-灵活,HUAXIAXINJINXIUHUNHEC
002837,HXWGJXHHA,华夏网购精选混合A,混合型-灵活,HUAXIAWANGGOUJINGXUANHUNHEA
002838,HXXJCHHA,华夏新锦程混合A,混合型-灵活,HUAXIAXINJINCHENGHUNHEA
002839,HXXJCHHC,华夏新锦程混合C,混合型-灵活,HUAXIAXINJINCHENGHUNHEC
002844,JYDYCLHHA,金鹰多元策略混合A,混合型-灵活,JINYINGDUOYUANCELUEHUNHEA
002846,HDHHHH,泓德泓华混合,混合型-灵活,HONGDEHONGHUAHUNHE
002849,JXZNZG2025HHA,金信智能中国2025混合A,混合型-灵活,JINXINZHINENGZHONGGUO2025HUNHEA
002851,NFPZYXLHPZHHA,南方品质优选灵活配置混合A,混合型-灵活,NANFANGPINZHIYOUXUANLINGHUOPEIZHIHUNHEA
002860,QHKYHGSXJYHHA,前海开源沪港深新机遇混合A,混合型-灵活,QIANHAIKAIYUANHUGANGSHENXINJIYUHUNHEA
002861,GYZNZZGPA,工银智能制造股票A,股票型,GONGYINZHINENGZHIZAOGUPIAOA
002862,JXLHJXHHA,金信量化精选混合A,混合型-灵活,JINXINLIANGHUAJINGXUANHUNHEA
002863,JXSZCZHHA,金信深圳成长混合A,混合型-灵活,JINXINSHENZHENCHENGZHANGHUNHEA
002871,HXZSJZCZA,华夏智胜价值成长A,股票型,HUAXIAZHISHENGJIAZHICHENGZHANGA
002872,HXZSJZCZC,华夏智胜价值成长C,股票型,HUAXIAZHISHENGJIAZHICHENGZHANGC
002885,DMWZCXHHA,大摩万众创新混合A,混合型-灵活,DAMOWANZHONGCHUANGXINHUNHEA
002910,YFDGJGGHH,易方达供给改革混合,混合型-灵活,YIFANGDAGONGJIGAIGEHUNHE
002919,DWZHYLLHHHA,东吴智慧医疗量化混合A,混合型-灵活,DONGWUZHIHUIYILIAOLIANGHUAHUNHEA
002934,TKHTHBHHA,泰康恒泰回报混合A,混合型-灵活,TAIKANGHENGTAIHUIBAOHUNHEA
002935,TKHTHBHHC,泰康恒泰回报混合C,混合型-灵活,TAIKANGHENGTAIHUIBAOHUNHEC
002938,ZYZQJKCYHH,中银证券健康产业混合,混合型-灵活,ZHONGYINZHENGQUANJIANKANGCHANYEHUNHE
002939,GFCXSJHH,广发创新升级混合,混合型-灵活,GUANGFACHUANGXINSHENGJIHUNHE
002943,GFDYZHH,广发多因子混合,混合型-灵活,GUANGFADUOYINZIHUNHE
002945,DCSSJXHHA,大成盛世精选混合A,混合型-灵活,DACHENGSHENGSHIJINGXUANHUNHEA
002952,JXDYZLHGP,建信多因子量化股票,股票型,JIANXINDUOYINZILIANGHUAGUPIAO
002955,RTXQSLHPZHH,融通新趋势灵活配置混合,混合型-灵活,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
002956,RTXQSLHPZHH,融通新趋势灵活配置混合(后端),混合型-灵活,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
002959,HTFYTHH,汇添富盈泰混合,混合型-灵活,HUITIANFUYINGTAIHUNHE
002967,ZSDSJZXXFHHA,浙商大数据智选消费混合A,混合型-灵活,ZHESHANGDASHUJUZHIXUANXIAOFEIHUNHEA
002980,HXCXQYGPA,华夏创新前沿股票A,股票型,HUAXIACHUANGXINQIANYANGUPIAOA
002983,CXGFJGLHHHA,长信国防军工量化混合A,混合型-灵活,CHANGXINGUOFANGJUNGONGLIANGHUAHUNHEA
002989,RTTQYJJXLHPZHHA,融通通乾研究精选灵活配置混合A,混合型-灵活,RONGTONGTONGQIANYANJIUJINGXUANLINGHUOPEIZHIHUNHEA
003025,XHHLHBHH,新华红利回报混合,混合型-灵活,XINHUAHONGLIHUIBAOHUNHE
003026,AXXJZHHA,安信新价值混合A,混合型-灵活,ANXINXINJIAZHIHUNHEA
003027,AXXJZHHC,安信新价值混合C,混合型-灵活,ANXINXINJIAZHIHUNHEC
003028,AXXYXHHA,安信新优选混合A,混合型-灵活,ANXINXINYOUXUANHUNHEA
003029,AXXYXHHC,安信新优选混合C,混合型-灵活,ANXINXINYOUXUANHUNHEC
003030,AXXMBHHA,安信新目标混合A,混合型-灵活,ANXINXINMUBIAOHUNHEA
003031,AXXMBHHC,安信新目标混合C,混合型-灵活,ANXINXINMUBIAOHUNHEC
003032,PAYLJKHHA,平安医疗健康混合A,混合型-偏股,PINGANYILIAOJIANKANGHUNHEA
003053,JSWTYLGPA,嘉实文体娱乐股票A,股票型,JIASHIWENTIYULEGUPIAOA
003054,JSWTYLGPC,嘉实文体娱乐股票C,股票型,JIASHIWENTIYULEGUPIAOC
003062,YHTLHHA,银华通利混合A,混合型-灵活,YINHUATONGLIHUNHEA
003063,YHTLHHC,银华通利混合C,混合型-灵活,YINHUATONGLIHUNHEC
003069,GDCYBLHYXA,光大创业板量化优选A,股票型,GUANGDACHUANGYEBANLIANGHUAYOUXUANA
003070,GDCYBLHYXC,光大创业板量化优选C,股票型,GUANGDACHUANGYEBANLIANGHUAYOUXUANC
003095,ZOYLJKHHA,中欧医疗健康混合A,混合型-偏股,ZHONGOUYILIAOJIANKANGHUNHEA
003096,ZOYLJKHHC,中欧医疗健康混合C,混合型-偏股,ZHONGOUYILIAOJIANKANGHUNHEC
003105,GDYXHHA,光大永鑫混合A,混合型-灵活,GUANGDAYONGXINHUNHEA
003106,GDYXHHC,光大永鑫混合C,混合型-灵活,GUANGDAYONGXINHUNHEC
003115,GDCXHHA,光大诚鑫混合A,混合型-灵活,GUANGDACHENGXINHUNHEA
003116,GDCXHHC,光大诚鑫混合C,混合型-灵活,GUANGDACHENGXINHUNHEC
003119,BSXYHHA,博时鑫源混合A,混合型-灵活,BOSHIXINYUANHUNHEA
003120,BSXYHHC,博时鑫源混合C,混合型-灵活,BOSHIXINYUANHUNHEC
003125,ZKWTWXCZJXHHA,中科沃土沃鑫成长精选混合A,混合型-灵活,ZHONGKEWOTUWOXINCHENGZHANGJINGXUANHUNHEA
003131,GSABQGZZHH,国寿安保强国智造混合,混合型-灵活,GUOSHOUANBAOQIANGGUOZHIZAOHUNHE
003132,DBXHBLHPZHHA,德邦新回报灵活配置混合A,混合型-灵活,DEBANGXINHUIBAOLINGHUOPEIZHIHUNHEA
003142,PHHDHHA,鹏华弘达混合A,混合型-灵活,PENGHUAHONGDAHUNHEA
003143,PHHDHHC,鹏华弘达混合C,混合型-灵活,PENGHUAHONGDAHUNHEC
003144,HBXJYHHLOFC,华宝新机遇混合(LOF)C,混合型-灵活,HUABAOXINJIYUHUNHELOFC
003145,GLJZYS,国联竞争优势,股票型,GUOLIANJINGZHENGYOUSHI
003147,DCDTLHPZCLHHA,大成动态量化配置策略混合A,混合型-灵活,DACHENGDONGTAILIANGHUAPEIZHICELUEHUNHEA
003152,HFTXLHPZHHA,华富天鑫灵活配置混合A,混合型-灵活,HUAFUTIANXINLINGHUOPEIZHIHUNHEA
003153,HFTXLHPZHHC,华富天鑫灵活配置混合C,混合型-灵活,HUAFUTIANXINLINGHUOPEIZHIHUNHEC
003154,HBXHLHHC,华宝新活力混合C,混合型-灵活,HUABAOXINHUOLIHUNHEC
003165,PHHJHHA,鹏华弘嘉混合A,混合型-灵活,PENGHUAHONGJIAHUNHEA
003166,PHHJHHC,鹏华弘嘉混合C,混合型-灵活,PENGHUAHONGJIAHUNHEC
003169,CSSHHHA,长盛盛辉混合A,混合型-灵活,CHANGSHENGSHENGHUIHUNHEA
003170,CSSHHHC,长盛盛辉混合C,混合型-灵活,CHANGSHENGSHENGHUIHUNHEC
003175,HTBRDCLHHA,华泰柏瑞多策略混合A,混合型-灵活,HUATAIBAIRUIDUOCELUEHUNHEA
003182,HFHXHHA,华富弘鑫混合A,混合型-灵活,HUAFUHONGXINHUNHEA
003183,HFHXHHC,华富弘鑫混合C,混合型-灵活,HUAFUHONGXINHUNHEC
003187,JSAYHHC,嘉实安益混合C,混合型-灵活,JIASHIANYIHUNHEC
003189,HTFBXLHPZHHA,汇添富保鑫灵活配置混合A,混合型-灵活,HUITIANFUBAOXINLINGHUOPEIZHIHUNHEA
003190,CJHXXFZTGPA,创金合信消费主题股票A,股票型,CHUANGJINHEXINXIAOFEIZHUTIGUPIAOA
003191,CJHXXFZTGPC,创金合信消费主题股票C,股票型,CHUANGJINHEXINXIAOFEIZHUTIGUPIAOC
003230,CJHXYLBJGPA,创金合信医疗保健股票A,股票型,CHUANGJINHEXINYILIAOBAOJIANGUPIAOA
003231,CJHXYLBJGPC,创金合信医疗保健股票C,股票型,CHUANGJINHEXINYILIAOBAOJIANGUPIAOC
003234,ZXBCZLHHA,中信保诚至利混合A,混合型-灵活,ZHONGXINBAOCHENGZHILIHUNHEA
003235,ZXBCZLHHC,中信保诚至利混合C,混合型-灵活,ZHONGXINBAOCHENGZHILIHUNHEC
003238,XHWYZZZTLHPZHH,新华外延增长主题灵活配置混合,混合型-灵活,XINHUAWAIYANZENGZHANGZHUTILINGHUOPEIZHIHUNHE
003241,CJHXLHFXHHA,创金合信量化发现混合A,混合型-灵活,CHUANGJINHEXINLIANGHUAFAXIANHUNHEA
003242,CJHXLHFXHHC,创金合信量化发现混合C,混合型-灵活,CHUANGJINHEXINLIANGHUAFAXIANHUNHEC
003282,ZXBCZYHHA,中信保诚至裕混合A,混合型-灵活,ZHONGXINBAOCHENGZHIYUHUNHEA
003283,ZXBCZYHHC,中信保诚至裕混合C,混合型-灵活,ZHONGXINBAOCHENGZHIYUHUNHEC
003284,ZYYYJKHHA,中邮医药健康混合A,混合型-偏股,ZHONGYOUYIYAOJIANKANGHUNHEA
003291,XAJKZGHHA,信澳健康中国混合A,混合型-灵活,XINAOJIANKANGZHONGGUOHUNHEA
003292,JSYSCZHHA,嘉实优势成长混合A,混合型-灵活,JIASHIYOUSHICHENGZHANGHUNHEA
003293,YFDKRHH,易方达科瑞混合,混合型-灵活,YIFANGDAKERUIHUNHE
003294,JSXQSHHC,嘉实新趋势混合C,混合型-灵活,JIASHIXINQUSHIHUNHEC
003298,JSWLCYGPA,嘉实物流产业股票A,股票型,JIASHIWULIUCHANYEGUPIAOA
003299,JSWLCYGPC,嘉实物流产业股票C,股票型,JIASHIWULIUCHANYEGUPIAOC
003304,QHKYHGSHXZYHHA,前海开源沪港深核心资源混合A,混合型-灵活,QIANHAIKAIYUANHUGANGSHENHEXINZIYUANHUNHEA
003305,QHKYHGSHXZYHHC,前海开源沪港深核心资源混合C,混合型-灵活,QIANHAIKAIYUANHUGANGSHENHEXINZIYUANHUNHEC
003308,ZXJTRLA,中信建投睿利A,混合型-灵活,ZHONGXINJIANTOURUILIA
003333,TXZXCZLHPZHHA,泰信智选成长灵活配置混合A,混合型-灵活,TAIXINZHIXUANCHENGZHANGLINGHUOPEIZHIHUNHEA
003343,PHHHLHPZHHA,鹏华弘惠灵活配置混合A,混合型-灵活,PENGHUAHONGHUILINGHUOPEIZHIHUNHEA
003344,PHHHLHPZHHC,鹏华弘惠灵活配置混合C,混合型-灵活,PENGHUAHONGHUILINGHUOPEIZHIHUNHEC
003345,AXXCZHHA,安信新成长混合A,混合型-灵活,ANXINXINCHENGZHANGHUNHEA
003346,AXXCZHHC,安信新成长混合C,混合型-灵活,ANXINXINCHENGZHANGHUNHEC
003373,DCJLLHPZHHA,大成景禄灵活配置混合A,混合型-灵活,DACHENGJINGLULINGHUOPEIZHIHUNHEA
003374,DCJLLHPZHHC,大成景禄灵活配置混合C,混合型-灵活,DACHENGJINGLULINGHUOPEIZHIHUNHEC
003378,TKCLYXHH,泰康策略优选混合,混合型-灵活,TAIKANGCELUEYOUXUANHUNHE
003379,ZXBCZXHHA,中信保诚至选混合A,混合型-灵活,ZHONGXINBAOCHENGZHIXUANHUNHEA
003380,ZXBCZXHHC,中信保诚至选混合C,混合型-灵活,ZHONGXINBAOCHENGZHIXUANHUNHEC
003396,DFHYXHLHHA,东方红优享红利混合A,混合型-灵活,DONGFANGHONGYOUXIANGHONGLIHUNHEA
003397,YHTYWHLHPZHHA,银华体育文化灵活配置混合A,混合型-灵活,YINHUATIYUWENHUALINGHUOPEIZHIHUNHEA
003411,PHHKLHPZHHA,鹏华弘康灵活配置混合A,混合型-灵活,PENGHUAHONGKANGLINGHUOPEIZHIHUNHEA
003412,PHHKLHPZHHC,鹏华弘康灵活配置混合C,混合型-灵活,PENGHUAHONGKANGLINGHUOPEIZHIHUNHEC
003413,HTBRXJJHGSHHA,华泰柏瑞新经济沪港深混合A,混合型-灵活,HUATAIBAIRUIXINJINGJIHUGANGSHENHUNHEA
003432,ZXBCZRHHA,中信保诚至瑞混合A,混合型-灵活,ZHONGXINBAOCHENGZHIRUIHUNHEA
003433,ZXBCZRHHC,中信保诚至瑞混合C,混合型-灵活,ZHONGXINBAOCHENGZHIRUIHUNHEC
003446,YDRXA,英大睿鑫A,混合型-灵活,YINGDARUIXINA
003447,YDRXC,英大睿鑫C,混合型-灵活,YINGDARUIXINC
003456,XAXMBLHPZHHA,信澳新目标灵活配置混合A,混合型-灵活,XINAOXINMUBIAOLINGHUOPEIZHIHUNHEA
003484,JYXYHHA,金鹰鑫益混合A,混合型-灵活,JINYINGXINYIHUNHEA
003485,JYXYHHC,金鹰鑫益混合C,混合型-灵活,JINYINGXINYIHUNHEC
003494,FGTHCZHHLOFC,富国天惠成长混合(LOF)C,混合型-偏股,FUGUOTIANHUICHENGZHANGHUNHELOFC
003495,PHHSHHA,鹏华弘尚混合A,混合型-灵活,PENGHUAHONGSHANGHUNHEA
003496,PHHSHHC,鹏华弘尚混合C,混合型-灵活,PENGHUAHONGSHANGHUNHEC
003501,HLRZWJHHA,宏利睿智稳健混合A,混合型-灵活,HONGLIRUIZHIWENJIANHUNHEA
003502,JYXRHHA,金鹰鑫瑞混合A,混合型-灵活,JINYINGXINRUIHUNHEA
003503,JYXRHHC,金鹰鑫瑞混合C,混合型-灵活,JINYINGXINRUIHUNHEC
003513,ZYXFSJLHPZHHA,中邮消费升级灵活配置混合A,混合型-灵活,ZHONGYOUXIAOFEISHENGJILINGHUOPEIZHIHUNHEA
003516,GTRADCLLHPZHHA,国泰融安多策略灵活配置混合A,混合型-灵活,GUOTAIRONGANDUOCELUELINGHUOPEIZHIHUNHEA
003550,HLGGDLHHC,宏利改革动力混合C,混合型-灵活,HONGLIGAIGEDONGLIHUNHEC
003561,NDCZJXA,诺德成长精选A,混合型-灵活,NUODECHENGZHANGJINGXUANA
003562,NDCZJXC,诺德成长精选C,混合型-灵活,NUODECHENGZHANGJINGXUANC
003567,HXHYJQHHA,华夏行业景气混合A,混合型-偏股,HUAXIAHANGYEJINGQIHUNHEA
003580,TKHGSJZYXHH,泰康沪港深价值优选混合,混合型-灵活,TAIKANGHUGANGSHENJIAZHIYOUXUANHUNHE
003581,QHLHGMJKHHA,前海联合国民健康混合A,混合型-灵活,QIANHAILIANHEGUOMINJIANKANGHUNHEA
003586,XFJYHHA,先锋精一混合A,混合型-灵活,XIANFENGJINGYIHUNHEA
003587,XFJYHHC,先锋精一混合C,混合型-灵活,XIANFENGJINGYIHUNHEC
003591,HTBRXLHHA,华泰柏瑞享利混合A,混合型-灵活,HUATAIBAIRUIXIANGLIHUNHEA
003592,HTBRXLHHC,华泰柏瑞享利混合C,混合型-灵活,HUATAIBAIRUIXIANGLIHUNHEC
003593,GTJQHYLHPZHH,国泰景气行业灵活配置混合,混合型-灵活,GUOTAIJINGQIHANGYELINGHUOPEIZHIHUNHE
003594,CSSCLHPZHHA,长盛盛崇灵活配置混合A,混合型-灵活,CHANGSHENGSHENGCHONGLINGHUOPEIZHIHUNHEA
003595,CSSCLHPZHHC,长盛盛崇灵活配置混合C,混合型-灵活,CHANGSHENGSHENGCHONGLINGHUOPEIZHIHUNHEC
003598,HSRFLHPZHHA,华商润丰灵活配置混合A,混合型-灵活,HUASHANGRUNFENGLINGHUOPEIZHIHUNHEA
003624,CJHXZYGPFQSA,创金合信资源股票发起式A,股票型,CHUANGJINHEXINZIYUANGUPIAOFAQISHIA
003625,CJHXZYGPFQSC,创金合信资源股票发起式C,股票型,CHUANGJINHEXINZIYUANGUPIAOFAQISHIC
003626,PAXLHHA,平安鑫利混合A,混合型-灵活,PINGANXINLIHUNHEA
003634,JSNYCYGPA,嘉实农业产业股票A,股票型,JIASHINONGYECHANYEGUPIAOA
003641,CSSFLHPZHHA,长盛盛丰灵活配置混合A,混合型-灵活,CHANGSHENGSHENGFENGLINGHUOPEIZHIHUNHEA
003642,CSSFLHPZHHC,长盛盛丰灵活配置混合C,混合型-灵活,CHANGSHENGSHENGFENGLINGHUOPEIZHIHUNHEC
003655,XAXCFHHA,信澳新财富混合A,混合型-灵活,XINAOXINCAIFUHUNHEA
003659,SZZGCLJXHHA,山证资管策略精选混合A,混合型-灵活,SHANZHENGZIGUANCELUEJINGXUANHUNHEA
003670,GLWLWZTA,国联物联网主题A,混合型-灵活,GUOLIANWULIANWANGZHUTIA
003684,HAFRHHA,汇安丰融混合A,混合型-灵活,HUIANFENGRONGHUNHEA
003685,HAFRHHC,汇安丰融混合C,混合型-灵活,HUIANFENGRONGHUNHEC
003692,DCJSLHPZHHA,大成景尚灵活配置混合A,混合型-灵活,DACHENGJINGSHANGLINGHUOPEIZHIHUNHEA
003693,DCJSLHPZHHC,大成景尚灵活配置混合C,混合型-灵活,DACHENGJINGSHANGLINGHUOPEIZHIHUNHEC
003713,YDRSA,英大睿盛A,混合型-灵活,YINGDARUISHENGA
003714,YDRSC,英大睿盛C,混合型-灵活,YINGDARUISHENGC
003715,BYXFZTHH,宝盈消费主题混合,混合型-灵活,BAOYINGXIAOFEIZHUTIHUNHE
003717,ZYLHJXHHA,中银量化精选混合A,混合型-灵活,ZHONGYINLIANGHUAJINGXUANHUNHEA
003734,WJRYLHPZHHA,万家瑞盈灵活配置混合A,混合型-灵活,WANJIARUIYINGLINGHUOPEIZHIHUNHEA
003735,WJRYLHPZHHC,万家瑞盈灵活配置混合C,混合型-灵活,WANJIARUIYINGLINGHUOPEIZHIHUNHEC
003745,GFDYXXGP,广发多元新兴股票,股票型,GUANGFADUOYUANXINXINGGUPIAO
003751,WJRLHHA,万家瑞隆混合A,混合型-偏股,WANJIARUILONGHUNHEA
003805,HAXHLHHA,华安新恒利混合A,混合型-灵活,HUAANXINHENGLIHUNHEA
003806,HAXHLHHC,华安新恒利混合C,混合型-灵活,HUAANXINHENGLIHUNHEC
003822,ZXJTLHHHA,中信建投轮换混合A,混合型-偏股,ZHONGXINJIANTOULUNHUANHUNHEA
003823,ZXJTLHHHC,中信建投轮换混合C,混合型-偏股,ZHONGXINJIANTOULUNHUANHUNHEC
003834,HXNYGXGPA,华夏能源革新股票A,股票型,HUAXIANENGYUANGEXINGUPIAOA
003835,PHHSGXXCZHHA,鹏华沪深港新兴成长混合A,混合型-灵活,PENGHUAHUSHENGANGXINXINGCHENGZHANGHUNHEA
003839,YFDRTLHPZHHA,易方达瑞通灵活配置混合A,混合型-灵活,YIFANGDARUITONGLINGHUOPEIZHIHUNHEA
003840,YFDRTLHPZHHC,易方达瑞通灵活配置混合C,混合型-灵活,YIFANGDARUITONGLINGHUOPEIZHIHUNHEC
003842,ZYJTLHPZHHA,中邮景泰灵活配置混合A,混合型-灵活,ZHONGYOUJINGTAILINGHUOPEIZHIHUNHEA
003843,ZYJTLHPZHHC,中邮景泰灵活配置混合C,混合型-灵活,ZHONGYOUJINGTAILINGHUOPEIZHIHUNHEC
003845,HAFHLHPZHHA,汇安丰恒灵活配置混合A,混合型-灵活,HUIANFENGHENGLINGHUOPEIZHIHUNHEA
003846,HAFHLHPZHHC,汇安丰恒灵活配置混合C,混合型-灵活,HUIANFENGHENGLINGHUOPEIZHIHUNHEC
003848,ZYGLLHPZHHA,中银广利灵活配置混合A,混合型-灵活,ZHONGYINGUANGLILINGHUOPEIZHIHUNHEA
003849,ZYGLLHPZHHC,中银广利灵活配置混合C,混合型-灵活,ZHONGYINGUANGLILINGHUOPEIZHIHUNHEC
003853,JYXXCYGPA,金鹰信息产业股票A,股票型,JINYINGXINXICHANYEGUPIAOA
003857,QHKYZQYXHHA,前海开源周期优选混合A,混合型-灵活,QIANHAIKAIYUANZHOUQIYOUXUANHUNHEA
003858,QHKYZQYXHHC,前海开源周期优选混合C,混合型-灵活,QIANHAIKAIYUANZHOUQIYOUXUANHUNHEC
003861,ZSXFHHA,招商兴福混合A,混合型-灵活,ZHAOSHANGXINGFUHUNHEA
003862,ZSXFHHC,招商兴福混合C,混合型-灵活,ZHAOSHANGXINGFUHUNHEC
003865,CJHXLHDYZGPC,创金合信量化多因子股票C,股票型,CHUANGJINHEXINLIANGHUADUOYINZIGUPIAOC
003882,YFDRHHHA,易方达瑞弘混合A,混合型-灵活,YIFANGDARUIHONGHUNHEA
003883,YFDRHHHC,易方达瑞弘混合C,混合型-灵活,YIFANGDARUIHONGHUNHEC
003886,HAFLHHA,汇安丰利混合A,混合型-灵活,HUIANFENGLIHUNHEA
003887,HAFLHHC,汇安丰利混合C,混合型-灵活,HUIANFENGLIHUNHEC
003889,HAFZHHA,汇安丰泽混合A,混合型-灵活,HUIANFENGZEHUNHEA
003890,HAFZHHC,汇安丰泽混合C,混合型-灵活,HUIANFENGZEHUNHEC
003940,YHSSJXLHPZHHFQSA,银华盛世精选灵活配置混合发起式A,混合型-灵活,YINHUASHENGSHIJINGXUANLINGHUOPEIZHIHUNHEFAQISHIA
003956,NFCYZXGPA,南方产业智选股票A,股票型,NANFANGCHANYEZHIXUANGUPIAOA
003961,YFDRCLHPZHHA,易方达瑞程灵活配置混合A,混合型-灵活,YIFANGDARUICHENGLINGHUOPEIZHIHUNHEA
003962,YFDRCLHPZHHC,易方达瑞程灵活配置混合C,混合型-灵活,YIFANGDARUICHENGLINGHUOPEIZHIHUNHEC
003984,JSXNYXCLGPA,嘉实新能源新材料股票A,股票型,JIASHIXINNENGYUANXINCAILIAOGUPIAOA
003985,JSXNYXCLGPC,嘉实新能源新材料股票C,股票型,JIASHIXINNENGYUANXINCAILIAOGUPIAOC
003993,QHKYHGSHXQDHH,前海开源沪港深核心驱动混合,混合型-灵活,QIANHAIKAIYUANHUGANGSHENHEXINQUDONGHUNHE
004008,GLXSLHHA,国联鑫思路混合A,混合型-灵活,GUOLIANXINSILUHUNHEA
004009,GLXSLHHC,国联鑫思路混合C,混合型-灵活,GUOLIANXINSILUHUNHEC
004010,HTBRDLLHPZHHA,华泰柏瑞鼎利灵活配置混合A,混合型-灵活,HUATAIBAIRUIDINGLILINGHUOPEIZHIHUNHEA
004011,HTBRDLLHPZHHC,华泰柏瑞鼎利灵活配置混合C,混合型-灵活,HUATAIBAIRUIDINGLILINGHUOPEIZHIHUNHEC
004040,JYYLJKCYA,金鹰医疗健康产业A,股票型,JINYINGYILIAOJIANKANGCHANYEA
004041,JYYLJKCYC,金鹰医疗健康产业C,股票型,JINYINGYILIAOJIANKANGCHANYEC
004044,JYZXDLHH,金鹰转型动力混合,混合型-灵活,JINYINGZHUANXINGDONGLIHUNHE
004048,HXXJHHHA,华夏新锦汇混合A,混合型-灵活,HUAXIAXINJINHUIHUNHEA
004049,HXXJHHHC,华夏新锦汇混合C,混合型-灵活,HUAXIAXINJINHUIHUNHEC
004050,HXXJSHHA,华夏新锦升混合A,混合型-灵活,HUAXIAXINJINSHENGHUNHEA
004051,HXXJSHHC,华夏新锦升混合C,混合型-灵活,HUAXIAXINJINSHENGHUNHEC
004075,JYYYCXGPA,交银医药创新股票A,股票型,JIAOYINYIYAOCHUANGXINGUPIAOA
004076,GLARYCZHH,国联安锐意成长混合,混合型-偏股,GUOLIANANRUIYICHENGZHANGHUNHE
004091,BSHGSJZYXA,博时沪港深价值优选A,混合型-灵活,BOSHIHUGANGSHENJIAZHIYOUXUANA
004092,BSHGSJZYXC,博时沪港深价值优选C,混合型-灵活,BOSHIHUGANGSHENJIAZHIYOUXUANC
004098,QHKYGGTGXL50Q,前海开源港股通股息率50强,股票型,QIANHAIKAIYUANGANGGUTONGGUXILV50QIANG
004099,QHKYHGSJQHYJXHH,前海开源沪港深景气行业精选混合,混合型-灵活,QIANHAIKAIYUANHUGANGSHENJINGQIHANGYEJINGXUANHUNHE
004119,GFCXQDLHPZHH,广发创新驱动灵活配置混合,混合型-灵活,GUANGFACHUANGXINQUDONGLINGHUOPEIZHIHUNHE
004128,QHLHYLHHA,前海联合泳隆混合A,混合型-灵活,QIANHAILIANHEYONGLONGHUNHEA
004138,SYXDLHPZHHA,上银鑫达灵活配置混合A,混合型-灵活,SHANGYINXINDALINGHUOPEIZHIHUNHEA
004139,ZYJMRHLHPZHHA,中邮军民融合灵活配置混合A,混合型-灵活,ZHONGYOUJUNMINRONGHELINGHUOPEIZHIHUNHEA
004142,ZSSHLHHHA,招商盛合灵活混合A,混合型-灵活,ZHAOSHANGSHENGHELINGHUOHUNHEA
004143,ZSSHLHHHC,招商盛合灵活混合C,混合型-灵活,ZHAOSHANGSHENGHELINGHUOHUNHEC
004148,YXYFDCL,圆信永丰多策略,混合型-偏股,YUANXINYONGFENGDUOCELUE
004153,ZXBCXYHHA,中信保诚新悦混合A,混合型-灵活,ZHONGXINBAOCHENGXINYUEHUNHEA
004154,ZXBCXYHHB,中信保诚新悦混合B,混合型-灵活,ZHONGXINBAOCHENGXINYUEHUNHEB
004183,FGCYSJHHA,富国产业升级混合A,混合型-偏股,FUGUOCHANYESHENGJIHUNHEA
004189,HSXFHYGP,华商消费行业股票,股票型,HUASHANGXIAOFEIHANGYEGUPIAO
004205,DFZZCYLHPZHH,东方支柱产业灵活配置混合,混合型-灵活,DONGFANGZHIZHUCHANYELINGHUOPEIZHIHUNHE
004206,HSYHHHA,华商元亨混合A,混合型-灵活,HUASHANGYUANHENGHUNHEA
004209,DCZHLHDCLHHA,大成智惠量化多策略混合A,混合型-灵活,DACHENGZHIHUILIANGHUADUOCELUEHUNHEA
004211,JYZQYXHHA,金鹰周期优选混合A,混合型-灵活,JINYINGZHOUQIYOUXUANHUNHEA
004221,CXLHXFHHC,长信量化先锋混合C,混合型-偏股,CHANGXINLIANGHUAXIANFENGHUNHEC
004223,JXDCLJXHHA,金信多策略精选混合A,混合型-灵活,JINXINDUOCELUEJINGXUANHUNHEA
004224,NFJGGGLHPZHHA,南方军工改革灵活配置混合A,混合型-灵活,NANFANGJUNGONGGAIGELINGHUOPEIZHIHUNHEA
004231,ZOHYCZHHLOFC,中欧行业成长混合(LOF)C,混合型-偏股,ZHONGOUHANGYECHENGZHANGHUNHELOFC
004232,ZOJZFXHHC,中欧价值发现混合C,混合型-偏股,ZHONGOUJIAZHIFAXIANHUNHEC
004233,ZOSSCZHHLOFC,中欧盛世成长混合(LOF)C,混合型-偏股,ZHONGOUSHENGSHICHENGZHANGHUNHELOFC
